,Field,And,Or,By,Orderby,AscOrDesc,Operator,End
Start,OutputField,,,Condition,OrderBySkipOutput,,,EndFromStart
OutputField,OutputField,NextOutputField,,Condition,OrderBySkipCondition,,,EndFromOutput
NextOutputField,OutputField,,,,,,,
Condition,ConditionField,,,,,,,
ConditionField,,NextConditionWithF,NextConditionWithF,,OrderBy,,ConditionOperator,EndFromOrderByField
ConditionOperator,,NextCondition,NextCondition,,OrderBy,,,EndFromConditionOperator
NextConditionWithF,ConditionField,,,,,,,
NextCondition,ConditionField,,,,,,,
OrderBy,OrderByField,,,,,,,
OrderBySkipOutput,OrderByField,,,,,,,
OrderBySkipCondition,OrderByField,,,,,,,
OrderByField,,NextOrderBy,,,,AscOrDesc,,EndFromOrderByField
AscOrDesc,,NextOrderBy,,,,,,EndFromAscOrDesc
NextOrderBy,OrderByField,,,,,,,
EndFromOutput,,,,,,,,
EndFromCondition,,,,,,,,
EndFromConditionOperator,,,,,,,,
EndFromOrderByField,,,,,,,,
EndFromAscOrDesc,,,,,,,,
EndFromStart,,,,,,,,
