,Word,And,Or,By,OrderBy,AscOrDesc,End,Not
Start,OutputField,,,Condition,OrderBy,,,
OutputField,,NextOutputField,,Condition,OrderBy,,End,
NextOutputField,OutputField,,,,,,,
Condition,ConditionField,,,,,,,NotCondition
ConditionField,ConditionOperator,NextCondition,NextCondition,,OrderBy,,End,
ConditionOperator,ConditionParameter,NextCondition,NextCondition,,OrderBy,,End,
NextCondition,ConditionField,,,,,,,NotCondition
OrderBy,OrderByField,,,,,,,
OrderByField,OrderByField,,,,,AscOrDesc,End,
AscOrDesc,OrderByField,,,,,,End,
End,,,,,,,,
ConditionParameter,,NextCondition,NextCondition,,OrderBy,,End,
NotCondition,ConditionField,,,,,,,
